FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
48309,Low,Low,High,Low,High,High,Low,High,Low,High,Low,Low,High,,,,,,,,,,,Low,4,272728.0,14.66662755565985
48315,,,,,,,,,,,,,,,High,,,,,,,,,,1,25259.0,39.58984916267469
48317,,,,,,,High,,,Low,High,High,High,,,,,,,,,,,,0,93073.0,0.0
48321,,,,,,Low,High,,,Low,,Low,,,Low,,,,,,,,,,0,64651.0,0.0
48325,,Low,,,,,,,,,,,,,,,,,,,,,,,0,242550.0,0.0
48329,,Low,Low,Low,,,High,,Low,High,High,High,,,Low,Low,,,,,Low,Low,,,4,202918.0,19.712396140312833
48335,,,,Low,,,,,,,,,,,,,,,,,,,,,0,10794.0,0.0
48337,,,,,,,High,,,,Low,Low,,,High,Low,,,,,High,Low,,,0,47621.0,0.0
48339,,,,Low,,High,High,High,High,High,High,High,Low,,Low,,,,,,,,,,15,725605.0,20.67240440735662
48341,,High,High,High,,,High,Low,High,High,High,High,Low,,High,,,High,,,,,,,2,39705.0,50.37148973680896
48343,,High,Low,High,Low,,Low,,,,,Low,,,,,,High,,,,,,,0,59326.0,0.0
48347,,,,,,,,Low,,,,High,,Low,High,,,,,,,,,,0,62947.0,0.0
48349,,High,,High,,Low,,Low,,Low,High,Low,High,,,,,,,,,,,,0,88482.0,0.0
48353,,,,,High,,,,,,,,,,High,,,,,,,,,,1,21906.0,45.649593718615904
48355,High,High,High,High,High,High,High,Low,High,High,High,High,High,,High,Low,,High,,,Low,Low,Low,Low,6,378690.0,15.844094113919036
48361,High,High,High,High,,Low,High,High,Low,Low,High,High,Low,,High,,,,,,,,,,2,87259.0,22.920271834423957
48363,,High,High,High,,High,,High,,Low,High,Low,Low,,,,,,,,,,,,2,50162.0,39.87081854790479
48365,,,,,,,High,,,Low,Low,High,,,High,,,,,,,,,,0,73200.0,0.0
48367,,,,,,High,Low,Low,,Low,Low,Low,,,,,,,,,,,,,3,302264.0,9.925098589312654
48371,,,,,,,High,,,,Low,Low,,,High,,,,,,,,,,0,18043.0,0.0
48373,,,,,,,High,,,Low,,Low,,,,,,,,,,,,,0,83014.0,0.0
48375,,High,High,,Low,High,,,,High,,,,,,,,,,,,,,,2,200114.0,9.994303247149125
48381,,,,,,Low,,Low,,,,,High,,,,,,,,,,,,3,191908.0,15.632490568397358
48383,,,,,,,High,,,Low,Low,Low,,,,,,,,,,,,,0,4264.0,0.0
48389,,Low,,Low,,,High,,Low,High,High,High,,,High,,,,,,,,,,0,14742.0,0.0
48395,,High,,,,High,,High,,,,,,High,,,,,,,,,,,0,48370.0,0.0
48397,,,,,,,,,,,,,Low,,,,,,,,,,,,4,332886.0,12.0161256406097
48399,,,,,,High,,,,,,,,,,,,,,,,,,,0,13347.0,0.0
48401,,High,Low,Low,,High,,High,,,,,Low,High,,,,,,,,,,,0,110382.0,0.0
48407,,,,,,,,,,High,,Low,,,,,,,,,,,,,1,136077.0,7.3487804698810235
48409,,Low,High,High,Low,High,High,High,High,High,High,High,Low,High,Low,,,,High,,,,,,2,73557.0,27.189798387644956
48415,,,,,,,High,,,,Low,,,,,,,,,,,,,,0,29439.0,0.0
48419,,,,,,,Low,,,,,,,,,,,,,,,,,,0,26862.0,0.0
48423,Low,High,High,High,,Low,High,Low,High,High,High,High,,,,,,,,,,,,,4,308804.0,12.95320008808176
48431,,,,,,,High,,,Low,Low,High,,,,,,,,,,,,,0,1372.0,0.0
48435,,,,Low,,,,,High,Low,High,Low,,,,,,,,,,,,,0,6461.0,0.0
48439,Low,High,High,High,,High,High,High,High,High,High,High,High,,Low,,Low,,,,,High,,,21,2450169.0,8.570837358565878
48441,,,,,,Low,,Low,,High,,Low,High,,,,,,,,,,,,0,155296.0,0.0
48445,,Low,Low,,,,,,,,,,,,,,,,,,,,,,0,19516.0,0.0
48449,,Low,Low,,,Low,,Low,,,,,,,,,,,,,,,,,0,46731.0,0.0
48451,,,,,,High,,High,,,,,,,,,,,,,,,,,1,123080.0,8.124796880077998
48453,,High,High,High,,High,High,Low,Low,Low,High,High,,,,,,,,,,,,,14,1833841.0,7.6342496432351545
48459,,,,,,,High,,,Low,,Low,,,,,High,,,,,,,,1,154667.0,6.4655033071049415
48461,,,,,,,High,,,Low,Low,High,,,High,,,,,,,,,,0,3278.0,0.0
48465,,,,Low,,,,,,,,,,,,,,,,,,,,,3,50934.0,58.89975262103899
48467,,,,,,High,,High,,,,,,,,,,,,,,,,,0,134294.0,0.0
48469,High,Low,,Low,,,Low,,,Low,,Low,High,,,,,,,,,,,,5,118827.0,42.07797891051697
48471,,,,,,High,,High,,High,,,,,,,,,,,,,,,0,135367.0,0.0
48473,,,,Low,,High,,High,,Low,Low,Low,,,Low,,,,,,,,,,3,303842.0,9.873552701733137
48475,,,,Low,,,High,,,Low,Low,Low,,,High,,,,,,,,,,0,11618.0,0.0
48477,,,,,,High,,Low,,Low,,Low,,,,,,,,,,,,,0,54506.0,0.0
48479,,Low,,Low,,Low,High,Low,Low,Low,,Low,,,,,,,,,,,,,5,268453.0,18.62523421232022
48481,,,,High,,,,,High,,,,,,,,,,,,,,,,2,49942.0,40.04645388650835
