FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
19195,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,0,47735.0,0.0
19197,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,1,27914.0,35.824317546750734
21005,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0,85285.0,0.0
21007,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,0,10420.0,0.0
21009,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2,61450.0,32.54678600488202
21015,1.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,2,207106.0,9.656890674340676
21017,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,1,156725.0,6.38060296698038
21019,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,2,52398.0,38.169395778464825
21021,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,52801.0,0.0
21033,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,40096.0,0.0
21035,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,82724.0,12.088390309946327
21037,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,3,97267.0,30.842937481365723
21041,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,0.0,,,,,,,,,,,1.0,,0,23939.0,0.0
21047,,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,,,,,,,,,,,,,0,93535.0,0.0
21053,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,0,33957.0,0.0
21059,,,,,,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1,117861.0,8.484570807985678
21067,,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3,473534.0,6.335342340782288
21071,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,1,74991.0,13.334933525356377
21073,,,,,,0.0,,0.0,,,,1.0,,,,,,,,,,,,,2,86858.0,23.026088558336593
21075,,1.0,1.0,0.0,,0.0,,,,,,,,,,,,1.0,,,,,,,0,7496.0,0.0
21077,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,0,13961.0,0.0
21081,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0,36452.0,0.0
21085,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0,37089.0,0.0
21089,,,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0,97522.0,0.0
21091,,1.0,,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,,,1.0,,,,,,,,,,0,18456.0,0.0
21093,,,,,,1.0,,0.0,,,,1.0,,,,,,,,,,,,,2,143152.0,13.97116351849782
21097,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,0,45229.0,0.0
21099,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2,30754.0,65.03219093451258
21101,,1.0,1.0,1.0,,1.0,,1.0,,0.0,,0.0,0.0,,,,,,,,,,,,1,92036.0,10.865313572949717
21103,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,0,101052.0,0.0
21107,,,,,,1.0,,1.0,,,,,0.0,,0.0,,,,,,,,,,0,62522.0,0.0
21111,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,,0.0,,,,1.0,,9,860032.0,10.464726893883018
21113,1.0,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,1,124029.0,8.062630513831444
21117,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,4,242176.0,16.516913319238903
21121,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,75219.0,0.0
21125,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0,109572.0,0.0
21135,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,0,42796.0,0.0
21141,,,,,,1.0,,,,0.0,,0.0,,,,,,,,,,,,,0,34508.0,0.0
21143,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,36252.0,0.0
21145,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0,80154.0,0.0
21151,,0.0,,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,1,111685.0,8.953753861306351
21155,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,63421.0,0.0
21157,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,1.0,,,,,,1,87089.0,11.48250640149732
21161,1.0,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,1.0,,0,39913.0,0.0
21163,,1.0,,,,0.0,,1.0,,0.0,0.0,,0.0,,,,,,,,,,,,0,49432.0,0.0
21167,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,1,76705.0,13.036959780979075
21173,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,91208.0,0.0
21175,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,0,37460.0,0.0
21179,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,2,85202.0,23.473627379638977
21183,1.0,,,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,1.0,,1,46652.0,21.43530823973249
21197,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,0,26477.0,0.0
21199,,1.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,1,119332.0,8.379981899239096
21205,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,0,53371.0,0.0
21209,0.0,,,,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,,,,,,,,,,,,4,118318.0,33.80719755235889
21211,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,2,216855.0,9.222752530492727
21213,,,,,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,0,80986.0,0.0
21219,,1.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0,88027.0,0.0
21221,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2,33017.0,60.574855377532785
21223,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1,13125.0,76.19047619047619
21225,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2,16624.0,120.30798845043311
21227,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,4,147700.0,27.081922816519974
21235,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0,65223.0,0.0
21239,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,1,144495.0,6.920654693934046
22001,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,138389.0,7.226007847444522
22005,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,,0.0,,1.0,,,,,,4,130792.0,30.58291026974127
22007,,,,,,,1.0,,,,,,,,,,,,,,,,,,0,96094.0,0.0
22009,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,86860.0,11.512779184895233
22011,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,0,49989.0,0.0
22013,0.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0,48276.0,0.0
22015,,1.0,1.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,1,226486.0,4.415283946910625
22017,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,0,241940.0,0.0
22019,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,6,230795.0,25.997096990836024
22023,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0,40896.0,0.0
22031,,1.0,,,,,,,,0.0,,0.0,,,1.0,,,,,,,,,,0,28737.0,0.0
22033,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.0,1.0,,,,,,2,485052.0,4.123269257729068
22039,,1.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,106131.0,0.0
22045,,,,0.0,,1.0,,1.0,,1.0,0.0,1.0,,,,,,,,,,,,,2,145020.0,13.791201213625707
22047,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,,,,,,0,31671.0,0.0
22049,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0,65376.0,0.0
22051,,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,8,509436.0,15.703640889140146
22053,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,2,76317.0,26.20648086271735
22055,,0.0,,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,1,348040.0,2.8732329617285366
22057,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,,1.0,,,,,,,,,,2,143110.0,13.975263783103907
22059,,,,,,,,,,,,,,,1.0,,,,,,,,,,0,26624.0,0.0
22061,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0,76593.0,0.0
22063,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,2,232870.0,8.588482844505517
22065,,,,,,,,,,,,,,,0.0,,,,,,,,,,0,16705.0,0.0
22067,,,,,,,,,,,,,,,1.0,,,,,,,,,,1,43021.0,23.24446200692685
22069,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,0,51517.0,0.0
22073,,1.0,,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,,1,176868.0,5.653934007282268
22075,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,0,23484.0,0.0
22079,,1.0,1.0,,,1.0,,1.0,,,,0.0,,,0.0,,,,,,,,,,1,175695.0,5.691681607330886
22081,,1.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,0,61283.0,0.0
22085,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0,31829.0,0.0
22087,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,,,,,,3,44789.0,66.98073187613029
22089,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,1.0,,,0.0,,,,,,,1,84052.0,11.897396849569315
22093,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,0,33479.0,0.0
22095,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,,,,,,,,,0,50804.0,0.0
22097,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1,148013.0,6.756163309979529
22099,,,,,,,,,,,,,1.0,,,,,,,,,,,,0,157486.0,0.0
22101,,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,0,60572.0,0.0
22109,,,,,,1.0,,0.0,,1.0,,,,,,,,,,,,,,,0,162843.0,0.0
22111,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,1,34812.0,28.72572676088705
22113,,,,1.0,,,0.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,0,169459.0,0.0
22117,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1,82133.0,12.175374088368864
22119,,1.0,,,,0.0,1.0,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,2,45057.0,44.38821936658011
22121,,1.0,1.0,1.0,,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,,,,,,0.0,,,,,,1,43550.0,22.96211251435132
22125,,,,,,,,,,,,,,,1.0,,,,,,,,,,0,21873.0,0.0
22127,,,,,,,,,,,,,,,1.0,,,,,,,,,,0,47548.0,0.0
25001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6,292199.0,20.53395117710875
